dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,nonzero,validation_balanced_accuracy,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
german_numeric,German Numeric Full,50,convex,Convex,all,validation_f1,0.8,0.1,zz,1,full,0.6292134831460674,0.7336309523809523,113.0,20.0,13.0,1.175,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.59,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.5494505494505495,0.6595238095238095,0.7158333333333333,0.4892283400674367,68,72,10,50,122.0
german_numeric,German Numeric Full,50,convex,Convex,all,validation_business_cost,1.0,0.1,zz,1,full,0.5765765765765766,0.6949404761904762,111.0,16.0,31.0,1.189,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.54,0.38405797101449274,0.8833333333333333,0.39285714285714285,0.5353535353535354,0.638095238095238,0.7158333333333333,0.49541848196296073,55,85,7,53,120.0
german_numeric,German Numeric Full,50,convex,Convex,all,validation_balanced_accuracy,0.8,0.1,zz,1,full,0.6292134831460674,0.7336309523809523,113.0,20.0,13.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.59,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.5494505494505495,0.6595238095238095,0.7158333333333333,0.4892283400674367,68,72,10,50,122.0
german_numeric,German Numeric Full,50,convex,Convex,nonzero,validation_f1,0.8,0.1,zz,1,full,0.6292134831460674,0.7336309523809523,113.0,20.0,13.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.59,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.5494505494505495,0.6595238095238095,0.7158333333333333,0.4892283400674367,68,72,10,50,122.0
german_numeric,German Numeric Full,50,convex,Convex,nonzero,validation_business_cost,1.0,0.1,zz,1,full,0.5765765765765766,0.6949404761904762,111.0,16.0,31.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.54,0.38405797101449274,0.8833333333333333,0.39285714285714285,0.5353535353535354,0.638095238095238,0.7158333333333333,0.49541848196296073,55,85,7,53,120.0
german_numeric,German Numeric Full,50,convex,Convex,nonzero,validation_balanced_accuracy,0.8,0.1,zz,1,full,0.6292134831460674,0.7336309523809523,113.0,20.0,13.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed50.csv,0.59,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.5494505494505495,0.6595238095238095,0.7158333333333333,0.4892283400674367,68,72,10,50,122.0
german_numeric,German Numeric Full,50,feature_specific,Feature-specific,all,validation_f1,0.7,0.5,zz,1,full,0.6019417475728155,0.7157738095238095,109.0,17.0,24.0,1.113,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed50.csv,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,108,32,27,33,167.0
german_numeric,German Numeric Full,50,feature_specific,Feature-specific,all,validation_business_cost,0.7,0.5,zz,1,full,0.6019417475728155,0.7157738095238095,109.0,17.0,24.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed50.csv,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,108,32,27,33,167.0
german_numeric,German Numeric Full,50,feature_specific,Feature-specific,all,validation_balanced_accuracy,0.7,0.5,zz,1,full,0.6019417475728155,0.7157738095238095,109.0,17.0,24.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed50.csv,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,108,32,27,33,167.0
german_numeric,German Numeric Full,50,feature_specific,Feature-specific,nonzero,validation_f1,0.7,0.5,zz,1,full,0.6019417475728155,0.7157738095238095,109.0,17.0,24.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed50.csv,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,108,32,27,33,167.0
german_numeric,German Numeric Full,50,feature_specific,Feature-specific,nonzero,validation_business_cost,0.7,0.5,zz,1,full,0.6019417475728155,0.7157738095238095,109.0,17.0,24.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed50.csv,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,108,32,27,33,167.0
